crash_id,unit_nbr,VEH_BODY_STYL_ID
15161097,1,MOTORCYCLE
15192088,2,MOTORCYCLE
15151119,2,MOTORCYCLE
15172543,2,MOTORCYCLE
15164313,1,MOTORCYCLE
15198532,2,MOTORCYCLE
15195579,2,MOTORCYCLE
15150152,2,MOTORCYCLE
15163849,1,MOTORCYCLE
15203914,2,MOTORCYCLE
15174773,1,MOTORCYCLE
15158453,1,MOTORCYCLE
15153908,2,MOTORCYCLE
15215876,1,MOTORCYCLE
15210724,2,MOTORCYCLE
15154572,5,MOTORCYCLE
15186745,2,MOTORCYCLE
15191566,2,MOTORCYCLE
15209513,2,MOTORCYCLE
15215129,2,MOTORCYCLE
15155063,3,POLICE MOTORCYCLE
15184995,3,MOTORCYCLE
15199575,2,MOTORCYCLE
15157596,1,MOTORCYCLE
15196688,1,MOTORCYCLE
15162747,3,MOTORCYCLE
15206601,1,MOTORCYCLE
15148282,2,MOTORCYCLE
15187255,1,MOTORCYCLE
15202095,2,MOTORCYCLE
15213233,2,MOTORCYCLE
15201427,1,MOTORCYCLE
15158937,2,MOTORCYCLE
15157141,2,MOTORCYCLE
15172548,1,MOTORCYCLE
15207247,1,MOTORCYCLE
15159713,2,MOTORCYCLE
15192643,1,MOTORCYCLE
15215739,3,MOTORCYCLE
15165410,1,MOTORCYCLE
15174741,2,MOTORCYCLE
15153670,1,MOTORCYCLE
15165323,2,MOTORCYCLE
15181210,2,MOTORCYCLE
15186393,1,MOTORCYCLE
15699967,2,MOTORCYCLE
15188763,2,MOTORCYCLE
15170392,1,MOTORCYCLE
15154979,1,MOTORCYCLE
15185163,2,MOTORCYCLE
15156983,1,MOTORCYCLE
15213973,2,MOTORCYCLE
15188855,2,MOTORCYCLE
15194742,1,MOTORCYCLE
15164226,1,MOTORCYCLE
15189032,1,MOTORCYCLE
15185032,1,MOTORCYCLE
15208517,2,MOTORCYCLE
15151119,3,MOTORCYCLE
15189783,1,MOTORCYCLE
15175697,1,MOTORCYCLE
15237398,1,MOTORCYCLE
15167355,1,MOTORCYCLE
15209482,2,MOTORCYCLE
15189147,1,MOTORCYCLE
15211705,2,MOTORCYCLE
15200420,1,MOTORCYCLE
15315137,2,MOTORCYCLE
15189747,2,MOTORCYCLE
15205719,2,MOTORCYCLE
15209925,2,MOTORCYCLE
15181129,1,MOTORCYCLE
15169417,2,MOTORCYCLE
15187101,1,MOTORCYCLE
15190842,1,MOTORCYCLE
15207303,1,MOTORCYCLE
15166369,1,MOTORCYCLE
15182852,1,MOTORCYCLE
15202052,2,MOTORCYCLE
15207177,2,MOTORCYCLE
15164065,2,MOTORCYCLE
15149433,2,MOTORCYCLE
15179344,2,MOTORCYCLE
15160821,1,MOTORCYCLE
15212662,2,MOTORCYCLE
15157344,1,MOTORCYCLE
15193644,2,MOTORCYCLE
15195614,2,MOTORCYCLE
15215737,1,MOTORCYCLE
15188330,2,MOTORCYCLE
15198573,2,MOTORCYCLE
15164795,1,MOTORCYCLE
15205415,1,MOTORCYCLE
15207109,1,MOTORCYCLE
15210163,1,MOTORCYCLE
15201231,2,MOTORCYCLE
15181802,1,MOTORCYCLE
15159713,1,MOTORCYCLE
15147613,2,MOTORCYCLE
15152243,1,MOTORCYCLE
15213996,1,MOTORCYCLE
15175818,2,MOTORCYCLE
15147982,1,MOTORCYCLE
15155720,1,MOTORCYCLE
15193579,1,MOTORCYCLE
15185191,1,MOTORCYCLE
15195384,1,MOTORCYCLE
15174857,2,MOTORCYCLE
15207888,1,MOTORCYCLE
15197631,1,MOTORCYCLE
15166323,2,MOTORCYCLE
15164206,1,MOTORCYCLE
15201086,2,MOTORCYCLE
15185713,2,MOTORCYCLE
15215739,2,MOTORCYCLE
15209723,2,MOTORCYCLE
15207168,2,MOTORCYCLE
15175818,3,MOTORCYCLE
15169996,2,MOTORCYCLE
15149466,2,MOTORCYCLE
15145288,2,MOTORCYCLE
15315064,2,MOTORCYCLE
15205519,2,MOTORCYCLE
15230887,3,MOTORCYCLE
15270372,2,MOTORCYCLE
15247606,1,MOTORCYCLE
15299250,1,MOTORCYCLE
15273143,1,MOTORCYCLE
15288485,2,MOTORCYCLE
15219650,1,MOTORCYCLE
15269678,2,MOTORCYCLE
15261577,1,MOTORCYCLE
15276910,1,MOTORCYCLE
15218791,2,MOTORCYCLE
15241636,2,MOTORCYCLE
15299358,1,MOTORCYCLE
15264186,1,MOTORCYCLE
15247926,1,MOTORCYCLE
15273253,2,MOTORCYCLE
15253750,1,MOTORCYCLE
15236564,2,MOTORCYCLE
15243475,2,MOTORCYCLE
15287490,2,MOTORCYCLE
15251062,1,MOTORCYCLE
15242521,2,MOTORCYCLE
15267141,1,MOTORCYCLE
15270567,1,MOTORCYCLE
15228959,2,MOTORCYCLE
15349329,2,MOTORCYCLE
15216860,2,MOTORCYCLE
15240677,1,MOTORCYCLE
15394569,2,MOTORCYCLE
15297174,1,MOTORCYCLE
15242754,3,MOTORCYCLE
15247031,1,MOTORCYCLE
15281241,2,MOTORCYCLE
15238263,2,MOTORCYCLE
15262131,1,MOTORCYCLE
15217990,2,MOTORCYCLE
15262064,2,MOTORCYCLE
15287822,1,MOTORCYCLE
15284675,2,MOTORCYCLE
15236508,2,MOTORCYCLE
15247608,1,MOTORCYCLE
15260322,2,MOTORCYCLE
15268793,2,MOTORCYCLE
15226505,1,MOTORCYCLE
15276810,1,MOTORCYCLE
15252022,1,MOTORCYCLE
15263040,1,MOTORCYCLE
15244233,2,MOTORCYCLE
15254390,2,MOTORCYCLE
15300277,1,MOTORCYCLE
15252689,1,MOTORCYCLE
15263063,3,POLICE MOTORCYCLE
15234435,1,MOTORCYCLE
15224671,1,MOTORCYCLE
15242754,2,MOTORCYCLE
15293480,2,MOTORCYCLE
15224429,1,MOTORCYCLE
15229305,2,MOTORCYCLE
15243475,3,MOTORCYCLE
15228285,1,MOTORCYCLE
15225183,1,MOTORCYCLE
15227332,2,MOTORCYCLE
15250503,2,MOTORCYCLE
15236082,1,MOTORCYCLE
15260527,3,MOTORCYCLE
15229398,3,MOTORCYCLE
15251167,1,MOTORCYCLE
